time, rowNum, profile
255.25,0,0.67
255.25,1,0.56
255.25,2,0.48
255.25,3,0.45
255.25,4,0.44
255.25,5,0.43
255.25,6,0.43
255.25,7,0.42
255.25,8,0.42
255.25,9,0.42
255.25,10,0.42
255.25,11,0.42
255.25,12,0.42
255.25,13,0.42
255.25,14,0.42
255.25,15,0.42
255.25,16,0.42
255.25,17,0.42
255.25,18,0.42
255.25,19,0.42
255.29,0,0.64
255.29,1,0.55
255.29,2,0.48
255.29,3,0.45
255.29,4,0.44
255.29,5,0.43
255.29,6,0.43
255.29,7,0.42
255.29,8,0.42
255.29,9,0.42
255.29,10,0.42
255.29,11,0.42
255.29,12,0.42
255.29,13,0.42
255.29,14,0.42
255.29,15,0.42
255.29,16,0.42
255.29,17,0.42
255.29,18,0.42
255.29,19,0.42
255.34,0,0.72
255.34,1,0.54
255.34,2,0.48
255.34,3,0.46
255.34,4,0.44
255.34,5,0.43
255.34,6,0.43
255.34,7,0.42
255.34,8,0.42
255.34,9,0.42
255.34,10,0.42
255.34,11,0.42
255.34,12,0.42
255.34,13,0.42
255.34,14,0.42
255.34,15,0.42
255.34,16,0.42
255.34,17,0.42
255.34,18,0.42
255.34,19,0.42
255.38,0,0.72
255.38,1,0.51
255.38,2,0.46
255.38,3,0.44
255.38,4,0.43
255.38,5,0.42
255.38,6,0.42
255.38,7,0.42
255.38,8,0.42
255.38,9,0.42
255.38,10,0.42
255.38,11,0.42
255.38,12,0.42
255.38,13,0.42
255.38,14,0.42
255.38,15,0.42
255.38,16,0.42
255.38,17,0.42
255.38,18,0.42
255.38,19,0.42
255.42,0,0.72
255.42,1,0.56
255.42,2,0.50
255.42,3,0.46
255.42,4,0.45
255.42,5,0.44
255.42,6,0.43
255.42,7,0.43
255.42,8,0.42
255.42,9,0.42
255.42,10,0.42
255.42,11,0.42
255.42,12,0.42
255.42,13,0.42
255.42,14,0.42
255.42,15,0.42
255.42,16,0.42
255.42,17,0.42
255.42,18,0.42
255.42,19,0.42
255.46,0,0.66
255.46,1,0.54
255.46,2,0.49
255.46,3,0.46
255.46,4,0.44
255.46,5,0.43
255.46,6,0.43
255.46,7,0.42
255.46,8,0.42
255.46,9,0.42
255.46,10,0.42
255.46,11,0.42
255.46,12,0.42
255.46,13,0.42
255.46,14,0.42
255.46,15,0.42
255.46,16,0.42
255.46,17,0.42
255.46,18,0.42
255.46,19,0.42
255.47,0,0.65
255.47,1,0.51
255.47,2,0.48
255.47,3,0.46
255.47,4,0.44
255.47,5,0.43
255.47,6,0.43
255.47,7,0.42
255.47,8,0.42
255.47,9,0.42
255.47,10,0.42
255.47,11,0.42
255.47,12,0.42
255.47,13,0.42
255.47,14,0.42
255.47,15,0.42
255.47,16,0.42
255.47,17,0.42
255.47,18,0.42
255.47,19,0.42
255.49,0,0.64
255.49,1,0.53
255.49,2,0.51
255.49,3,0.48
255.49,4,0.46
255.49,5,0.44
255.49,6,0.43
255.49,7,0.43
255.49,8,0.42
255.49,9,0.42
255.49,10,0.42
255.49,11,0.42
255.49,12,0.42
255.49,13,0.42
255.49,14,0.42
255.49,15,0.42
255.49,16,0.42
255.49,17,0.42
255.49,18,0.42
255.49,19,0.42
255.50,0,0.60
255.50,1,0.50
255.50,2,0.48
255.50,3,0.46
255.50,4,0.44
255.50,5,0.43
255.50,6,0.42
255.50,7,0.42
255.50,8,0.42
255.50,9,0.42
255.50,10,0.42
255.50,11,0.42
255.50,12,0.42
255.50,13,0.42
255.50,14,0.42
255.50,15,0.42
255.50,16,0.42
255.50,17,0.42
255.50,18,0.42
255.50,19,0.42
255.54,0,0.55
255.54,1,0.56
255.54,2,0.53
255.54,3,0.50
255.54,4,0.48
255.54,5,0.46
255.54,6,0.44
255.54,7,0.43
255.54,8,0.43
255.54,9,0.42
255.54,10,0.42
255.54,11,0.42
255.54,12,0.42
255.54,13,0.42
255.54,14,0.42
255.54,15,0.42
255.54,16,0.42
255.54,17,0.42
255.54,18,0.42
255.54,19,0.42
255.59,0,0.53
255.59,1,0.53
255.59,2,0.51
255.59,3,0.48
255.59,4,0.46
255.59,5,0.44
255.59,6,0.43
255.59,7,0.43
255.59,8,0.42
255.59,9,0.42
255.59,10,0.42
255.59,11,0.42
255.59,12,0.42
255.59,13,0.42
255.59,14,0.42
255.59,15,0.42
255.59,16,0.42
255.59,17,0.42
255.59,18,0.42
255.59,19,0.42
255.63,0,0.52
255.63,1,0.53
255.63,2,0.51
255.63,3,0.48
255.63,4,0.46
255.63,5,0.45
255.63,6,0.44
255.63,7,0.43
255.63,8,0.43
255.63,9,0.42
255.63,10,0.42
255.63,11,0.42
255.63,12,0.42
255.63,13,0.42
255.63,14,0.42
255.63,15,0.42
255.63,16,0.42
255.63,17,0.42
255.63,18,0.42
255.63,19,0.42
255.67,0,0.52
255.67,1,0.49
255.67,2,0.47
255.67,3,0.45
255.67,4,0.44
255.67,5,0.43
255.67,6,0.42
255.67,7,0.42
255.67,8,0.43
255.67,9,0.44
255.67,10,0.44
255.67,11,0.43
255.67,12,0.43
255.67,13,0.43
255.67,14,0.42
255.67,15,0.42
255.67,16,0.42
255.67,17,0.42
255.67,18,0.42
255.67,19,0.42
256.25,0,0.75
256.25,1,0.56
256.25,2,0.49
256.25,3,0.46
256.25,4,0.44
256.25,5,0.43
256.25,6,0.43
256.25,7,0.43
256.25,8,0.42
256.25,9,0.42
256.25,10,0.42
256.25,11,0.42
256.25,12,0.42
256.25,13,0.42
256.25,14,0.42
256.25,15,0.42
256.25,16,0.42
256.25,17,0.42
256.25,18,0.42
256.25,19,0.42
256.29,0,0.64
256.29,1,0.52
256.29,2,0.48
256.29,3,0.46
256.29,4,0.44
256.29,5,0.43
256.29,6,0.43
256.29,7,0.42
256.29,8,0.42
256.29,9,0.42
256.29,10,0.42
256.29,11,0.42
256.29,12,0.42
256.29,13,0.42
256.29,14,0.42
256.29,15,0.42
256.29,16,0.42
256.29,17,0.42
256.29,18,0.42
256.29,19,0.42
256.34,0,0.67
256.34,1,0.53
256.34,2,0.48
256.34,3,0.45
256.34,4,0.44
256.34,5,0.43
256.34,6,0.43
256.34,7,0.42
256.34,8,0.42
256.34,9,0.42
256.34,10,0.42
256.34,11,0.42
256.34,12,0.42
256.34,13,0.42
256.34,14,0.42
256.34,15,0.42
256.34,16,0.42
256.34,17,0.42
256.34,18,0.42
256.34,19,0.42
256.38,0,0.69
256.38,1,0.55
256.38,2,0.50
256.38,3,0.47
256.38,4,0.45
256.38,5,0.43
256.38,6,0.43
256.38,7,0.42
256.38,8,0.42
256.38,9,0.42
256.38,10,0.42
256.38,11,0.42
256.38,12,0.42
256.38,13,0.42
256.38,14,0.42
256.38,15,0.42
256.38,16,0.42
256.38,17,0.42
256.38,18,0.42
256.38,19,0.42
256.42,0,0.70
256.42,1,0.56
256.42,2,0.49
256.42,3,0.46
256.42,4,0.45
256.42,5,0.44
256.42,6,0.43
256.42,7,0.43
256.42,8,0.42
256.42,9,0.42
256.42,10,0.42
256.42,11,0.42
256.42,12,0.42
256.42,13,0.42
256.42,14,0.42
256.42,15,0.42
256.42,16,0.42
256.42,17,0.42
256.42,18,0.42
256.42,19,0.42
256.46,0,0.73
256.46,1,0.52
256.46,2,0.47
256.46,3,0.45
256.46,4,0.43
256.46,5,0.43
256.46,6,0.42
256.46,7,0.42
256.46,8,0.42
256.46,9,0.42
256.46,10,0.42
256.46,11,0.42
256.46,12,0.42
256.46,13,0.42
256.46,14,0.42
256.46,15,0.42
256.46,16,0.42
256.46,17,0.42
256.46,18,0.42
256.46,19,0.42
256.47,0,0.65
256.47,1,0.51
256.47,2,0.47
256.47,3,0.44
256.47,4,0.43
256.47,5,0.43
256.47,6,0.42
256.47,7,0.42
256.47,8,0.42
256.47,9,0.42
256.47,10,0.42
256.47,11,0.42
256.47,12,0.42
256.47,13,0.42
256.47,14,0.42
256.47,15,0.42
256.47,16,0.42
256.47,17,0.42
256.47,18,0.42
256.47,19,0.42
256.49,0,0.58
256.49,1,0.51
256.49,2,0.48
256.49,3,0.46
256.49,4,0.44
256.49,5,0.43
256.49,6,0.43
256.49,7,0.42
256.49,8,0.42
256.49,9,0.42
256.49,10,0.42
256.49,11,0.42
256.49,12,0.42
256.49,13,0.42
256.49,14,0.42
256.49,15,0.42
256.49,16,0.42
256.49,17,0.42
256.49,18,0.42
256.49,19,0.42
256.50,0,0.58
256.50,1,0.55
256.50,2,0.49
256.50,3,0.46
256.50,4,0.45
256.50,5,0.44
256.50,6,0.43
256.50,7,0.43
256.50,8,0.42
256.50,9,0.42
256.50,10,0.42
256.50,11,0.42
256.50,12,0.42
256.50,13,0.42
256.50,14,0.42
256.50,15,0.42
256.50,16,0.42
256.50,17,0.42
256.50,18,0.42
256.50,19,0.42
256.54,0,0.53
256.54,1,0.49
256.54,2,0.46
256.54,3,0.46
256.54,4,0.44
256.54,5,0.42
256.54,6,0.42
256.54,7,0.42
256.54,8,0.42
256.54,9,0.42
256.54,10,0.42
256.54,11,0.42
256.54,12,0.42
256.54,13,0.42
256.54,14,0.42
256.54,15,0.42
256.54,16,0.42
256.54,17,0.42
256.54,18,0.42
256.54,19,0.42
256.59,0,0.48
256.59,1,0.48
256.59,2,0.47
256.59,3,0.45
256.59,4,0.44
256.59,5,0.43
256.59,6,0.43
256.59,7,0.42
256.59,8,0.42
256.59,9,0.42
256.59,10,0.42
256.59,11,0.42
256.59,12,0.42
256.59,13,0.42
256.59,14,0.42
256.59,15,0.42
256.59,16,0.42
256.59,17,0.42
256.59,18,0.42
256.59,19,0.42
256.63,0,0.48
256.63,1,0.50
256.63,2,0.52
256.63,3,0.51
256.63,4,0.48
256.63,5,0.47
256.63,6,0.46
256.63,7,0.45
256.63,8,0.44
256.63,9,0.44
256.63,10,0.43
256.63,11,0.43
256.63,12,0.43
256.63,13,0.42
256.63,14,0.42
256.63,15,0.42
256.63,16,0.42
256.63,17,0.42
256.63,18,0.42
256.63,19,0.42
256.67,0,0.60
256.67,1,0.55
256.67,2,0.49
256.67,3,0.47
256.67,4,0.46
256.67,5,0.45
256.67,6,0.44
256.67,7,0.43
256.67,8,0.43
256.67,9,0.42
256.67,10,0.42
256.67,11,0.42
256.67,12,0.42
256.67,13,0.42
256.67,14,0.42
256.67,15,0.42
256.67,16,0.42
256.67,17,0.42
256.67,18,0.42
256.67,19,0.42
257.25,0,0.76
257.25,1,0.57
257.25,2,0.52
257.25,3,0.49
257.25,4,0.46
257.25,5,0.45
257.25,6,0.44
257.25,7,0.43
257.25,8,0.43
257.25,9,0.43
257.25,10,0.42
257.25,11,0.42
257.25,12,0.42
257.25,13,0.42
257.25,14,0.42
257.25,15,0.42
257.25,16,0.42
257.25,17,0.42
257.25,18,0.42
257.25,19,0.42
257.29,0,0.75
257.29,1,0.56
257.29,2,0.48
257.29,3,0.45
257.29,4,0.44
257.29,5,0.43
257.29,6,0.43
257.29,7,0.42
257.29,8,0.42
257.29,9,0.42
257.29,10,0.42
257.29,11,0.42
257.29,12,0.42
257.29,13,0.42
257.29,14,0.42
257.29,15,0.42
257.29,16,0.42
257.29,17,0.42
257.29,18,0.42
257.29,19,0.42
257.34,0,0.80
257.34,1,0.63
257.34,2,0.54
257.34,3,0.49
257.34,4,0.46
257.34,5,0.44
257.34,6,0.44
257.34,7,0.43
257.34,8,0.43
257.34,9,0.42
257.34,10,0.42
257.34,11,0.42
257.34,12,0.42
257.34,13,0.42
257.34,14,0.42
257.34,15,0.42
257.34,16,0.42
257.34,17,0.42
257.34,18,0.42
257.34,19,0.42
257.38,0,0.82
257.38,1,0.63
257.38,2,0.54
257.38,3,0.48
257.38,4,0.46
257.38,5,0.44
257.38,6,0.43
257.38,7,0.43
257.38,8,0.42
257.38,9,0.42
257.38,10,0.42
257.38,11,0.42
257.38,12,0.42
257.38,13,0.42
257.38,14,0.42
257.38,15,0.42
257.38,16,0.42
257.38,17,0.42
257.38,18,0.42
257.38,19,0.42
257.42,0,0.80
257.42,1,0.60
257.42,2,0.52
257.42,3,0.47
257.42,4,0.45
257.42,5,0.43
257.42,6,0.43
257.42,7,0.43
257.42,8,0.42
257.42,9,0.42
257.42,10,0.42
257.42,11,0.42
257.42,12,0.42
257.42,13,0.42
257.42,14,0.42
257.42,15,0.42
257.42,16,0.42
257.42,17,0.42
257.42,18,0.42
257.42,19,0.42
257.46,0,0.76
257.46,1,0.60
257.46,2,0.52
257.46,3,0.46
257.46,4,0.45
257.46,5,0.44
257.46,6,0.43
257.46,7,0.43
257.46,8,0.42
257.46,9,0.42
257.46,10,0.42
257.46,11,0.42
257.46,12,0.42
257.46,13,0.42
257.46,14,0.42
257.46,15,0.42
257.46,16,0.42
257.46,17,0.42
257.46,18,0.42
257.46,19,0.42
257.47,0,0.74
257.47,1,0.60
257.47,2,0.53
257.47,3,0.48
257.47,4,0.46
257.47,5,0.44
257.47,6,0.43
257.47,7,0.43
257.47,8,0.42
257.47,9,0.42
257.47,10,0.42
257.47,11,0.42
257.47,12,0.42
257.47,13,0.42
257.47,14,0.42
257.47,15,0.42
257.47,16,0.42
257.47,17,0.42
257.47,18,0.42
257.47,19,0.42
257.49,0,0.70
257.49,1,0.58
257.49,2,0.50
257.49,3,0.47
257.49,4,0.45
257.49,5,0.43
257.49,6,0.43
257.49,7,0.43
257.49,8,0.42
257.49,9,0.42
257.49,10,0.42
257.49,11,0.42
257.49,12,0.42
257.49,13,0.42
257.49,14,0.42
257.49,15,0.42
257.49,16,0.42
257.49,17,0.42
257.49,18,0.42
257.49,19,0.42
257.50,0,0.66
257.50,1,0.58
257.50,2,0.51
257.50,3,0.47
257.50,4,0.45
257.50,5,0.44
257.50,6,0.43
257.50,7,0.43
257.50,8,0.42
257.50,9,0.42
257.50,10,0.42
257.50,11,0.42
257.50,12,0.42
257.50,13,0.42
257.50,14,0.42
257.50,15,0.42
257.50,16,0.42
257.50,17,0.42
257.50,18,0.42
257.50,19,0.42
257.54,0,0.58
257.54,1,0.55
257.54,2,0.50
257.54,3,0.46
257.54,4,0.44
257.54,5,0.44
257.54,6,0.43
257.54,7,0.43
257.54,8,0.43
257.54,9,0.42
257.54,10,0.42
257.54,11,0.42
257.54,12,0.42
257.54,13,0.42
257.54,14,0.42
257.54,15,0.42
257.54,16,0.42
257.54,17,0.42
257.54,18,0.42
257.54,19,0.42
257.59,0,0.51
257.59,1,0.50
257.59,2,0.48
257.59,3,0.46
257.59,4,0.44
257.59,5,0.43
257.59,6,0.43
257.59,7,0.43
257.59,8,0.43
257.59,9,0.42
257.59,10,0.42
257.59,11,0.42
257.59,12,0.42
257.59,13,0.42
257.59,14,0.42
257.59,15,0.42
257.59,16,0.42
257.59,17,0.42
257.59,18,0.42
257.59,19,0.42
257.63,0,0.55
257.63,1,0.62
257.63,2,0.54
257.63,3,0.47
257.63,4,0.45
257.63,5,0.44
257.63,6,0.44
257.63,7,0.44
257.63,8,0.43
257.63,9,0.42
257.63,10,0.42
257.63,11,0.42
257.63,12,0.42
257.63,13,0.42
257.63,14,0.42
257.63,15,0.42
257.63,16,0.42
257.63,17,0.42
257.63,18,0.42
257.63,19,0.42
257.67,0,0.60
257.67,1,0.58
257.67,2,0.53
257.67,3,0.50
257.67,4,0.48
257.67,5,0.46
257.67,6,0.45
257.67,7,0.44
257.67,8,0.44
257.67,9,0.43
257.67,10,0.43
257.67,11,0.43
257.67,12,0.43
257.67,13,0.42
257.67,14,0.42
257.67,15,0.42
257.67,16,0.42
257.67,17,0.42
257.67,18,0.42
257.67,19,0.42
258.25,0,0.74
258.25,1,0.69
258.25,2,0.60
258.25,3,0.53
258.25,4,0.49
258.25,5,0.47
258.25,6,0.46
258.25,7,0.45
258.25,8,0.44
258.25,9,0.43
258.25,10,0.42
258.25,11,0.42
258.25,12,0.42
258.25,13,0.42
258.25,14,0.42
258.25,15,0.42
258.25,16,0.42
258.25,17,0.42
258.25,18,0.42
258.25,19,0.42
258.29,0,0.68
258.29,1,0.72
258.29,2,0.63
258.29,3,0.56
258.29,4,0.54
258.29,5,0.51
258.29,6,0.49
258.29,7,0.46
258.29,8,0.44
258.29,9,0.43
258.29,10,0.43
258.29,11,0.43
258.29,12,0.42
258.29,13,0.42
258.29,14,0.42
258.29,15,0.42
258.29,16,0.42
258.29,17,0.42
258.29,18,0.42
258.29,19,0.42
258.34,0,0.64
258.34,1,0.62
258.34,2,0.55
258.34,3,0.53
258.34,4,0.47
258.34,5,0.44
258.34,6,0.43
258.34,7,0.43
258.34,8,0.43
258.34,9,0.43
258.34,10,0.42
258.34,11,0.42
258.34,12,0.42
258.34,13,0.42
258.34,14,0.42
258.34,15,0.42
258.34,16,0.42
258.34,17,0.42
258.34,18,0.42
258.34,19,0.42
258.38,0,0.63
258.38,1,0.60
258.38,2,0.53
258.38,3,0.48
258.38,4,0.45
258.38,5,0.44
258.38,6,0.43
258.38,7,0.43
258.38,8,0.43
258.38,9,0.42
258.38,10,0.42
258.38,11,0.42
258.38,12,0.42
258.38,13,0.42
258.38,14,0.42
258.38,15,0.42
258.38,16,0.42
258.38,17,0.42
258.38,18,0.42
258.38,19,0.42
258.42,0,0.60
258.42,1,0.54
258.42,2,0.48
258.42,3,0.46
258.42,4,0.44
258.42,5,0.43
258.42,6,0.42
258.42,7,0.42
258.42,8,0.42
258.42,9,0.42
258.42,10,0.42
258.42,11,0.42
258.42,12,0.42
258.42,13,0.42
258.42,14,0.42
258.42,15,0.42
258.42,16,0.42
258.42,17,0.42
258.42,18,0.42
258.42,19,0.42
258.46,0,0.57
258.46,1,0.52
258.46,2,0.49
258.46,3,0.46
258.46,4,0.44
258.46,5,0.43
258.46,6,0.42
258.46,7,0.42
258.46,8,0.42
258.46,9,0.42
258.46,10,0.42
258.46,11,0.42
258.46,12,0.42
258.46,13,0.42
258.46,14,0.42
258.46,15,0.42
258.46,16,0.42
258.46,17,0.42
258.46,18,0.42
258.46,19,0.42
258.47,0,0.59
258.47,1,0.51
258.47,2,0.46
258.47,3,0.44
258.47,4,0.43
258.47,5,0.43
258.47,6,0.43
258.47,7,0.42
258.47,8,0.42
258.47,9,0.42
258.47,10,0.42
258.47,11,0.42
258.47,12,0.42
258.47,13,0.42
258.47,14,0.42
258.47,15,0.42
258.47,16,0.42
258.47,17,0.42
258.47,18,0.42
258.47,19,0.42
258.49,0,0.57
258.49,1,0.53
258.49,2,0.49
258.49,3,0.47
258.49,4,0.45
258.49,5,0.44
258.49,6,0.43
258.49,7,0.42
258.49,8,0.42
258.49,9,0.42
258.49,10,0.42
258.49,11,0.42
258.49,12,0.42
258.49,13,0.42
258.49,14,0.42
258.49,15,0.42
258.49,16,0.42
258.49,17,0.42
258.49,18,0.42
258.49,19,0.42
258.50,0,0.56
258.50,1,0.54
258.50,2,0.49
258.50,3,0.46
258.50,4,0.45
258.50,5,0.44
258.50,6,0.43
258.50,7,0.43
258.50,8,0.42
258.50,9,0.42
258.50,10,0.42
258.50,11,0.42
258.50,12,0.42
258.50,13,0.42
258.50,14,0.42
258.50,15,0.42
258.50,16,0.42
258.50,17,0.42
258.50,18,0.42
258.50,19,0.42
258.54,0,0.58
258.54,1,0.58
258.54,2,0.55
258.54,3,0.52
258.54,4,0.48
258.54,5,0.46
258.54,6,0.44
258.54,7,0.43
258.54,8,0.43
258.54,9,0.42
258.54,10,0.42
258.54,11,0.42
258.54,12,0.42
258.54,13,0.42
258.54,14,0.42
258.54,15,0.42
258.54,16,0.42
258.54,17,0.42
258.54,18,0.42
258.54,19,0.42
258.59,0,0.57
258.59,1,0.65
258.59,2,0.60
258.59,3,0.55
258.59,4,0.52
258.59,5,0.49
258.59,6,0.46
258.59,7,0.45
258.59,8,0.44
258.59,9,0.44
258.59,10,0.43
258.59,11,0.43
258.59,12,0.43
258.59,13,0.42
258.59,14,0.42
258.59,15,0.42
258.59,16,0.42
258.59,17,0.42
258.59,18,0.42
258.59,19,0.42
258.63,0,0.64
258.63,1,0.71
258.63,2,0.62
258.63,3,0.56
258.63,4,0.51
258.63,5,0.48
258.63,6,0.46
258.63,7,0.45
258.63,8,0.44
258.63,9,0.44
258.63,10,0.44
258.63,11,0.43
258.63,12,0.43
258.63,13,0.43
258.63,14,0.42
258.63,15,0.42
258.63,16,0.42
258.63,17,0.42
258.63,18,0.42
258.63,19,0.42
258.67,0,0.74
258.67,1,0.79
258.67,2,0.71
258.67,3,0.65
258.67,4,0.61
258.67,5,0.57
258.67,6,0.52
258.67,7,0.49
258.67,8,0.46
258.67,9,0.45
258.67,10,0.45
258.67,11,0.44
258.67,12,0.44
258.67,13,0.43
258.67,14,0.43
258.67,15,0.43
258.67,16,0.42
258.67,17,0.42
258.67,18,0.42
258.67,19,0.42
259.25,0,0.58
259.25,1,0.62
259.25,2,0.54
259.25,3,0.48
259.25,4,0.45
259.25,5,0.44
259.25,6,0.43
259.25,7,0.43
259.25,8,0.42
259.25,9,0.42
259.25,10,0.42
259.25,11,0.42
259.25,12,0.42
259.25,13,0.42
259.25,14,0.42
259.25,15,0.42
259.25,16,0.42
259.25,17,0.42
259.25,18,0.42
259.25,19,0.42
259.29,0,0.54
259.29,1,0.53
259.29,2,0.50
259.29,3,0.47
259.29,4,0.46
259.29,5,0.45
259.29,6,0.44
259.29,7,0.43
259.29,8,0.43
259.29,9,0.42
259.29,10,0.42
259.29,11,0.42
259.29,12,0.42
259.29,13,0.42
259.29,14,0.42
259.29,15,0.42
259.29,16,0.42
259.29,17,0.42
259.29,18,0.42
259.29,19,0.42
259.34,0,0.69
259.34,1,0.61
259.34,2,0.53
259.34,3,0.48
259.34,4,0.46
259.34,5,0.45
259.34,6,0.44
259.34,7,0.43
259.34,8,0.43
259.34,9,0.43
259.34,10,0.42
259.34,11,0.42
259.34,12,0.42
259.34,13,0.42
259.34,14,0.42
259.34,15,0.42
259.34,16,0.42
259.34,17,0.42
259.34,18,0.42
259.34,19,0.42
259.38,0,0.72
259.38,1,0.78
259.38,2,0.67
259.38,3,0.59
